population_size,time_periods,mechanism,mean_legitimacy,std_legitimacy,mean_alpha,mean_friction
50,25,Equal Voice,0.5793484123385009,0.13029642994274143,0.5793484123385009,56.50229556322136
50,25,Stakes-Weighted DoCS,0.6087301051614976,0.1425478314886839,0.6087301051614976,52.76971270659277
50,25,Plutocracy,0.5697383306979347,0.1413743165918217,0.5697383306979347,58.567650600584045
50,25,Random Assignment,0.487458392199552,0.19723121623367892,0.487458392199552,69.96644519195594
50,25,Expert Rule,0.5747093749108649,0.13438485647732726,0.5747093749108649,58.5355640450809
50,50,Equal Voice,0.5816066989390474,0.12677533626810034,0.5816066989390474,57.05932951729794
50,50,Stakes-Weighted DoCS,0.6199087447158201,0.13208680931293218,0.6199087447158201,50.54929480268427
50,50,Plutocracy,0.5632513075188961,0.1294961411128291,0.5632513075188961,59.522221945073724
50,50,Random Assignment,0.4770195283891585,0.1926007870076443,0.4770195283891585,70.38052998375889
50,50,Expert Rule,0.5603844486379506,0.13681282084963775,0.5603844486379506,59.14809945023129
50,100,Equal Voice,0.5818070980511305,0.1388153001699157,0.5818070980511305,55.98840382451852
50,100,Stakes-Weighted DoCS,0.6228505300085326,0.13638966370335381,0.6228505300085326,49.87540450285739
50,100,Plutocracy,0.5838822627678624,0.13194261861952936,0.5838822627678624,57.83845705495963
50,100,Random Assignment,0.48322201744596577,0.1939815024435431,0.48322201744596577,70.09572851778454
50,100,Expert Rule,0.5629470977149468,0.1407278851343203,0.5629470977149468,58.966588531772125
100,25,Equal Voice,0.6005286309340899,0.12835961789746841,0.6005286309340899,114.20398869060563
100,25,Stakes-Weighted DoCS,0.621604543476357,0.13399929724161389,0.621604543476357,108.12775717343935
100,25,Plutocracy,0.6041589765759315,0.13979391923585752,0.6041589765759315,117.90611877579998
100,25,Random Assignment,0.4933436488955792,0.18151913204979153,0.4933436488955792,145.06273259303666
100,25,Expert Rule,0.5837652633924679,0.1250424182565286,0.5837652633924679,119.04387707688545
100,50,Equal Voice,0.6024226612049065,0.12333421278724624,0.6024226612049065,116.4333352519901
100,50,Stakes-Weighted DoCS,0.6389077453746304,0.14071085661818955,0.6389077453746304,103.56314029621066
100,50,Plutocracy,0.604357679455874,0.1309350921948488,0.604357679455874,112.85054390977224
100,50,Random Assignment,0.4917221841717727,0.19477310536649795,0.4917221841717727,144.84047123997462
100,50,Expert Rule,0.6119836350180452,0.12424811683950598,0.6119836350180452,111.08564756822847
100,100,Equal Voice,0.6110238189436026,0.12502021990770812,0.6110238189436026,109.96363681480132
100,100,Stakes-Weighted DoCS,0.6149471275521403,0.12840904543962203,0.6149471275521403,109.21475918884478
100,100,Plutocracy,0.60742012304943,0.12876359487979955,0.60742012304943,113.88922587885656
100,100,Random Assignment,0.5191892506025304,0.19072723615649362,0.5191892506025304,137.7172303244811
100,100,Expert Rule,0.6218089807583503,0.12846553115668216,0.6218089807583503,110.28453671298081
200,25,Equal Voice,0.6193133600619584,0.12360106838347333,0.6193133600619584,232.8071232585539
200,25,Stakes-Weighted DoCS,0.6217986364924826,0.13739863399134825,0.6217986364924826,223.95027855209975
200,25,Plutocracy,0.6188398539475045,0.12681849189738115,0.6188398539475045,230.13196897710506
200,25,Random Assignment,0.5277357426301207,0.18452514662196434,0.5277357426301207,284.506838226359
200,25,Expert Rule,0.6224537098189787,0.12874678792708735,0.6224537098189787,229.02718953846713
200,50,Equal Voice,0.6366005654308714,0.12152013191484075,0.6366005654308714,218.06822612657442
200,50,Stakes-Weighted DoCS,0.6357517667991637,0.13344315505491192,0.6357517667991637,218.89542961888228
200,50,Plutocracy,0.6136795464204683,0.12488584950796079,0.6136795464204683,232.31673924919275
200,50,Random Assignment,0.5508658309564473,0.16847934002490184,0.5508658309564473,276.8424234550011
200,50,Expert Rule,0.6109147558952034,0.12797758030398113,0.6109147558952034,232.220472867242
200,100,Equal Voice,0.6240066709872981,0.12962383305343322,0.6240066709872981,227.38965420903367
200,100,Stakes-Weighted DoCS,0.6292880972650088,0.13143524080564703,0.6292880972650088,223.46686990360294
200,100,Plutocracy,0.6248667105610545,0.12133866770001328,0.6248667105610545,223.47148489962171
200,100,Random Assignment,0.5070888627983839,0.17479891182357643,0.5070888627983839,297.0236262861665
200,100,Expert Rule,0.6171554258290142,0.12420209621012805,0.6171554258290142,232.7238533357057
