mechanism,dynamic_mode,run,timestep,alpha,friction
Plutocracy,social,0,0,0.6947505432350223,67.15290410055981
Plutocracy,social,0,1,0.6966265530294531,60.13102663351048
Plutocracy,social,0,2,0.6982012869998456,53.87304245110691
Plutocracy,social,0,3,0.6987690111276681,48.45775105764774
Plutocracy,social,0,4,0.699232531818702,43.6073487694718
Plutocracy,social,0,5,0.6992041111102614,39.29152116682988
Plutocracy,social,0,6,0.6988532286388812,35.44091487008803
Plutocracy,social,0,7,0.6982354592696401,31.999982989601175
Plutocracy,social,0,8,0.6971464802182195,28.93439351694799
Plutocracy,social,0,9,0.6956179298628833,26.224916580827006
Plutocracy,social,0,10,0.6940193346794955,23.766146234520644
Plutocracy,social,0,11,0.6918729417580163,21.569047030283585
Plutocracy,social,0,12,0.6893961529491579,19.601702434603567
Plutocracy,social,0,13,0.6865857038796094,17.835086884962084
Plutocracy,social,0,14,0.6833907574932657,16.248058801225653
Plutocracy,social,0,15,0.6879230799508962,14.820892689809597
Plutocracy,social,0,16,0.6960775163901685,13.524962858365031
Plutocracy,social,0,17,0.703540790496464,12.345130950991221
Plutocracy,social,0,18,0.7104480363568378,11.270712911615462
Plutocracy,social,0,19,0.7165250638186154,10.30300543114737
Plutocracy,social,0,20,0.7218441801191527,9.429797557164754
Plutocracy,social,0,21,0.7264669474296401,8.641087837796452
Plutocracy,social,0,22,0.7304167600495612,7.929717886329263
Plutocracy,social,0,23,0.7337017581994179,7.286677070735927
Plutocracy,social,0,24,0.7367604735077453,6.695141756458054
Plutocracy,social,0,25,0.7394900310555572,6.153642921165191
Plutocracy,social,0,26,0.7416358670556432,5.663624696396306
Plutocracy,social,0,27,0.7433810348527425,5.216505459424071
Plutocracy,social,0,28,0.7448347260617256,4.8069578945290345
Plutocracy,social,0,29,0.7459693525386228,4.431455455548664
Plutocracy,social,0,30,0.7470083274171395,4.083927797234986
Plutocracy,social,0,31,0.7479540703201975,3.762449739044529
Plutocracy,social,0,32,0.7485865753510426,3.4676310479086654
Plutocracy,social,0,33,0.7491060476899489,3.1954335927948607
Plutocracy,social,0,34,0.7492243275205819,2.948827631001495
Plutocracy,social,0,35,0.7489319580544537,2.723098028427822
Plutocracy,social,0,36,0.7485807199372251,2.5136965109889395
Plutocracy,social,0,37,0.7479153906579357,2.3224501638665367
Plutocracy,social,0,38,0.7470353531270952,2.146341338091488
Plutocracy,social,0,39,0.7458518524935818,1.9846778041813
Plutocracy,social,0,40,0.7443657896159088,1.8360661036123525
Plutocracy,social,0,41,0.7427969590589796,1.6979319747184283
Plutocracy,social,0,42,0.7411650586713798,1.5696063026716232
Plutocracy,social,0,43,0.7394388367248026,1.450454781345935
